----------------------------------------------------------------------------------------
Impl         Status       Mean(ms)       Median          Min          Max          Std
----------------------------------------------------------------------------------------
reference    OK              3.527        1.594        0.407       15.219        4.024
tilelang     ERROR               -            -            -            -            -
ascendc      OK             18.542       12.970        0.675       84.597       15.071
----------------------------------------------------------------------------------------
reference -> /home/Code/AscendOpGenAgent/output/20260423_181735/6_CausalConv1dFn/model.py
case[16] mean=16.866 ms, median=14.794 ms, samples(ms): [18.860, 13.295, 15.663, 12.441, 13.415, 12.967, 23.221, 28.133, 13.925, 16.744]
case[17] mean=0.784 ms, median=0.768 ms, samples(ms): [0.820, 0.763, 0.870, 0.762, 0.773, 0.791, 0.759, 0.783, 0.762, 0.754]
case[18] mean=0.765 ms, median=0.762 ms, samples(ms): [0.784, 0.763, 0.788, 0.761, 0.754, 0.766, 0.747, 0.788, 0.747, 0.749]
case[19] mean=33.109 ms, median=32.825 ms, samples(ms): [32.936, 34.878, 34.915, 32.597, 32.714, 32.937, 31.714, 34.639, 32.043, 31.714]
case[20] mean=33.213 ms, median=32.635 ms, samples(ms): [31.469, 31.135, 31.358, 34.426, 32.799, 32.471, 32.979, 36.721, 32.032, 36.745]
case[21] mean=33.359 ms, median=33.127 ms, samples(ms): [32.637, 34.728, 32.997, 34.544, 33.258, 32.793, 34.209, 34.010, 32.438, 31.981]
case[22] mean=32.265 ms, median=31.941 ms, samples(ms): [32.618, 31.584, 32.209, 32.688, 31.431, 31.670, 31.507, 31.673, 34.837, 32.434]
case[23] mean=9.738 ms, median=8.512 ms, samples(ms): [8.921, 7.415, 16.735, 11.192, 7.146, 8.102, 6.667, 7.200, 10.666, 13.335]
case[24] mean=8.111 ms, median=7.601 ms, samples(ms): [13.398, 8.339, 6.350, 6.478, 8.187, 7.661, 7.277, 8.533, 7.540, 7.348]
case[25] mean=0.740 ms, median=0.741 ms, samples(ms): [0.749, 0.753, 0.730, 0.744, 0.723, 0.737, 0.753, 0.735, 0.748, 0.733]
case[26] mean=0.733 ms, median=0.728 ms, samples(ms): [0.726, 0.729, 0.737, 0.754, 0.722, 0.724, 0.719, 0.749, 0.747, 0.723]
case[27] mean=3.547 ms, median=2.987 ms, samples(ms): [4.251, 2.783, 2.723, 7.162, 2.968, 3.400, 2.984, 3.337, 2.991, 2.869]
case[28] mean=3.410 ms, median=2.843 ms, samples(ms): [3.363, 2.650, 2.517, 3.082, 2.749, 2.785, 2.749, 8.313, 2.901, 2.989]
case[29] mean=7.031 ms, median=6.629 ms, samples(ms): [7.046, 6.678, 6.772, 6.179, 6.111, 6.581, 7.569, 10.702, 6.557, 6.117]
case[30] mean=8.259 ms, median=8.053 ms, samples(ms): [7.678, 7.842, 8.231, 8.897, 8.156, 7.914, 7.950, 8.505, 9.497, 7.915]
case[31] mean=7.534 ms, median=6.681 ms, samples(ms): [12.759, 6.800, 6.432, 8.748, 6.563, 6.496, 6.457, 7.056, 6.451, 7.583]
case[32] mean=7.572 ms, median=7.400 ms, samples(ms): [7.743, 6.823, 6.753, 6.867, 10.023, 7.796, 7.056, 8.188, 6.705, 7.762]
case[33] mean=15.278 ms, median=15.162 ms, samples(ms): [13.898, 13.623, 16.525, 16.271, 18.081, 16.720, 16.515, 14.053, 13.891, 13.201]
