case_index,ref_mean_ms,ref_median_ms,ref_min_ms,ref_max_ms,ref_stdev_ms,tl_mean_ms,tl_median_ms,tl_min_ms,tl_max_ms,tl_stdev_ms,ac_mean_ms,ac_median_ms,ac_min_ms,ac_max_ms,ac_stdev_ms,ac_vs_ref_speedup,tl_vs_ref_speedup
90,83.2357,82.8046,81.8708,88.2881,1.8780,184.0610,183.8919,183.5016,186.0457,0.7429,217.0172,217.1677,214.6783,219.1045,1.8662,0.384,0.452
91,1.3939,1.3878,1.3769,1.4367,0.0188,3.7603,3.7569,3.7051,3.8666,0.0438,4.1129,4.1204,4.0506,4.1791,0.0369,0.339,0.371
92,84.2335,83.9401,82.8826,87.0342,1.2478,154.1099,153.4863,153.2774,156.0935,1.1081,183.3240,183.2903,181.3574,185.5627,1.9448,0.459,0.547
93,0.8525,0.8321,0.8126,1.0586,0.0732,2.0687,2.0685,2.0424,2.1116,0.0190,2.1678,2.1188,2.0934,2.5905,0.1500,0.393,0.412
94,0.6573,0.6436,0.6272,0.7761,0.0448,1.5880,1.5879,1.5752,1.6054,0.0104,1.6101,1.6091,1.5929,1.6291,0.0140,0.408,0.414
95,0.8489,0.8343,0.8225,0.9457,0.0400,1.9855,1.9891,1.9547,2.0109,0.0187,2.0362,2.0367,2.0111,2.0668,0.0196,0.417,0.428
96,0.8261,0.8139,0.7454,0.9762,0.0627,1.0606,1.0571,1.0456,1.0905,0.0126,0.9953,0.9886,0.9464,1.1544,0.0598,0.830,0.779
97,0.6095,0.6069,0.5741,0.6563,0.0281,0.9648,0.9668,0.9534,0.9764,0.0081,0.8566,0.8599,0.8217,0.8942,0.0250,0.712,0.632
98,0.6532,0.6261,0.6197,0.8104,0.0593,0.9971,0.9962,0.9875,1.0148,0.0092,0.9007,0.9017,0.8670,0.9429,0.0225,0.725,0.655
99,0.2649,0.2528,0.2403,0.3374,0.0332,0.6877,0.6875,0.6682,0.7048,0.0103,0.5282,0.5303,0.4954,0.5574,0.0217,0.501,0.385
100,0.2529,0.2514,0.2423,0.2715,0.0106,0.7003,0.6998,0.6865,0.7177,0.0102,0.5266,0.5232,0.5017,0.5749,0.0238,0.480,0.361
101,0.2462,0.2436,0.2380,0.2585,0.0073,0.6941,0.6891,0.6763,0.7340,0.0165,0.5278,0.5307,0.5078,0.5639,0.0191,0.467,0.355
102,86.4563,81.4826,80.5616,107.7821,9.1612,182.8445,181.8683,181.7353,190.9755,2.8646,216.5932,215.0913,214.7882,219.4486,2.1409,0.399,0.473
103,26.6761,26.4498,25.3485,31.0258,1.7053,52.0995,52.1118,51.5619,52.9386,0.3808,61.2924,61.3186,60.5968,62.0041,0.5736,0.435,0.512
104,76.7305,76.2813,75.8992,80.5032,1.3536,155.4065,155.2614,154.9486,156.0608,0.3462,182.8861,182.9255,180.6889,184.8597,1.9038,0.420,0.494
105,0.7768,0.7381,0.5792,1.3961,0.2450,1.8843,1.8858,1.8516,1.9081,0.0171,1.7733,1.7770,1.7467,1.7904,0.0144,0.438,0.412
106,0.6447,0.6260,0.4386,1.1518,0.2138,1.5929,1.5955,1.5681,1.6100,0.0162,1.5220,1.5209,1.5059,1.5525,0.0141,0.424,0.405
107,0.5772,0.5604,0.5237,0.6456,0.0402,1.8426,1.8380,1.8169,1.8859,0.0222,1.6946,1.6932,1.6737,1.7348,0.0169,0.341,0.313
108,0.5309,0.4267,0.3978,0.9900,0.2289,2.2372,2.2327,2.2003,2.2858,0.0266,2.1764,2.1752,2.1363,2.2086,0.0216,0.244,0.237
109,0.4481,0.4084,0.3769,0.5618,0.0753,2.1915,2.1946,2.1618,2.2087,0.0164,2.1950,2.1858,2.1078,2.3377,0.0698,0.204,0.204
110,0.5380,0.4447,0.4148,0.9644,0.2169,2.1845,2.1763,2.1426,2.2585,0.0333,2.9188,2.2807,2.1674,8.2266,1.8725,0.184,0.246
111,0.5155,0.4192,0.3913,0.8949,0.2014,2.2938,2.2372,2.1765,2.8864,0.2103,2.2129,2.2191,2.1649,2.2716,0.0319,0.233,0.225
112,1.2666,0.5505,0.4331,4.4393,1.3721,1.4620,1.4741,1.3825,1.5306,0.0397,1.3890,1.3824,1.3549,1.4259,0.0213,0.912,0.866
113,2.6318,0.5404,0.3610,21.4655,6.6190,2.2006,2.1954,2.1662,2.2578,0.0332,2.1565,2.1551,2.1179,2.2002,0.0315,1.220,1.196
114,85.8836,85.7047,81.0158,92.0192,4.4509,357.4508,356.6100,355.5401,361.7514,2.3058,426.3642,426.4846,421.1594,434.9576,4.7624,0.201,0.240
115,69.8363,69.5107,66.0184,74.2748,3.1376,284.9033,284.4663,283.9689,288.3298,1.2994,340.4780,340.5647,336.0256,344.5365,3.7489,0.205,0.245
116,77.5705,76.5059,76.3060,84.4533,2.6220,345.5991,345.4046,340.7842,349.5906,2.3501,413.3805,416.4007,407.3074,417.2784,4.4433,0.188,0.224
117,0.5556,0.5501,0.5387,0.6211,0.0237,1.4103,1.4117,1.3830,1.4367,0.0169,1.2856,1.2818,1.2541,1.3218,0.0218,0.432,0.394
118,0.5523,0.5630,0.4940,0.6205,0.0398,1.4470,1.4411,1.4159,1.5129,0.0269,1.2942,1.2885,1.2461,1.3575,0.0407,0.427,0.382
119,0.5629,0.5541,0.5397,0.6181,0.0244,1.4189,1.4111,1.3847,1.5282,0.0408,1.2838,1.2763,1.2501,1.3266,0.0217,0.438,0.397
120,1.0359,1.0340,1.0219,1.0534,0.0110,2.1169,2.1091,2.1017,2.1477,0.0163,2.0995,2.0833,2.0695,2.2320,0.0485,0.493,0.489
121,0.9581,0.9538,0.9502,0.9758,0.0095,2.1237,2.1401,2.0736,2.1665,0.0322,2.1822,2.1481,2.0728,2.3596,0.1051,0.439,0.451
122,0.9902,0.9888,0.9800,1.0094,0.0080,2.1331,2.1281,2.0847,2.2035,0.0388,2.0806,2.0720,2.0289,2.1380,0.0387,0.476,0.464
123,0.9643,0.9640,0.9459,0.9755,0.0090,2.1323,2.1300,2.0804,2.1742,0.0334,2.1879,2.2141,2.0502,2.2536,0.0700,0.441,0.452
124,0.9686,0.9647,0.9598,0.9878,0.0084,2.1564,2.1448,2.0894,2.2795,0.0533,2.0873,2.0713,2.0545,2.1367,0.0306,0.464,0.449
125,0.9155,0.9654,0.5720,1.2165,0.2200,2.1611,2.1441,2.0760,2.3107,0.0695,2.2542,2.1311,2.0678,3.4226,0.4127,0.406,0.424
126,82.0596,81.5158,81.0630,83.8735,1.0407,359.0538,359.2944,351.7152,365.2275,3.2882,426.7721,429.7254,421.1766,430.8266,4.4761,0.192,0.229
127,31.2466,30.8624,30.6716,34.9085,1.2919,143.5782,143.3642,142.4380,145.3645,0.9186,170.3326,169.3165,168.4288,172.6075,1.6259,0.183,0.218
128,65.6863,65.7264,65.2404,66.2384,0.2981,284.7336,284.4760,283.9851,287.4217,1.0040,340.6480,341.7341,335.9698,344.5459,3.4344,0.193,0.231
129,0.7739,0.7374,0.7348,0.9698,0.0787,1.5170,1.5159,1.4955,1.5461,0.0166,1.3752,1.3809,1.3269,1.4011,0.0237,0.563,0.510
130,0.6967,0.6947,0.6794,0.7316,0.0146,1.5003,1.5014,1.4741,1.5234,0.0160,1.3900,1.3950,1.3501,1.4169,0.0238,0.501,0.464
131,0.8045,0.7892,0.5978,1.1645,0.1701,1.5266,1.5257,1.4820,1.5577,0.0204,1.4010,1.4002,1.3474,1.4826,0.0366,0.574,0.527
132,0.8662,0.8659,0.8553,0.8767,0.0081,1.1646,1.1605,1.1543,1.1916,0.0122,1.0729,1.0735,1.0598,1.0941,0.0107,0.807,0.744
133,1.4335,0.8382,0.8338,6.7466,1.8669,1.1163,1.1134,1.1049,1.1417,0.0114,1.0144,1.0138,0.9957,1.0467,0.0166,1.413,1.284
134,0.8734,0.6507,0.5788,1.3941,0.3382,1.1139,1.1117,1.1052,1.1266,0.0073,1.0231,1.0181,1.0020,1.0524,0.0171,0.854,0.784
135,0.2701,0.2405,0.2313,0.4563,0.0705,0.5468,0.5451,0.5388,0.5681,0.0086,0.3195,0.3185,0.3161,0.3251,0.0028,0.845,0.494
136,0.2864,0.2846,0.2755,0.2959,0.0066,0.5477,0.5447,0.5420,0.5627,0.0069,0.3225,0.3190,0.3150,0.3545,0.0117,0.888,0.523
